ano,estado,projecao de populacao
2011,Rondônia,1618210
2011,Acre,778499
2011,Amazonas,3618040
2011,Roraima,469543
2011,Pará,7862943
2011,Amapá,711453
2011,Tocantins,1431478
2011,Maranhão,6757213
2011,Piauí,3202880
2011,Ceará,8681591
2011,Rio Grande do Norte,3271415
2011,Paraíba,3859813
2011,Pernambuco,9062229
2011,Alagoas,3213606
2011,Sergipe,2130440
2011,Bahia,14372994
2011,Minas Gerais,20096163
2011,Espírito Santo,3642595
2011,Rio de Janeiro,16405508
2011,São Paulo,42707383
2011,Paraná,10738066
2011,Santa Catarina,6441468
2011,Rio Grande do Sul,10963317
2011,Mato Grosso do Sul,2525762
2011,Mato Grosso,3145830
2011,Goiás,6214241
2011,Distrito Federal,2681052
2012,Rondônia,1637884
2012,Acre,792045
2012,Amazonas,3684326
2012,Roraima,480290
2012,Pará,7960134
2012,Amapá,728015
2012,Tocantins,1449779
2012,Maranhão,6798830
2012,Piauí,3212635
2012,Ceará,8738045
2012,Rio Grande do Norte,3302720
2012,Paraíba,3875373
2012,Pernambuco,9126434
2012,Alagoas,3230877
2012,Sergipe,2152329
2012,Bahia,14441531
2012,Minas Gerais,20235204
2012,Espírito Santo,3689347
2012,Rio de Janeiro,16510627
2012,São Paulo,43119841
2012,Paraná,10822187
2012,Santa Catarina,6530943
2012,Rio Grande do Sul,11014448
2012,Mato Grosso do Sul,2557442
2012,Mato Grosso,3185148
2012,Goiás,6316302
2012,Distrito Federal,2722198
2013,Rondônia,1657620
2013,Acre,805014
2013,Amazonas,3751293
2013,Roraima,491066
2013,Pará,8054419
2013,Amapá,744809
2013,Tocantins,1467474
2013,Maranhão,6836179
2013,Piauí,3220646
2013,Ceará,8792607
2013,Rio Grande do Norte,3332952
2013,Paraíba,3890494
2013,Pernambuco,9189504
2013,Alagoas,3247527
2013,Sergipe,2173632
2013,Bahia,14505033
2013,Minas Gerais,20371328
2013,Espírito Santo,3736386
2013,Rio de Janeiro,16616344
2013,São Paulo,43528708
2013,Paraná,10908262
2013,Santa Catarina,6620186
2013,Rio Grande do Sul,11066527
2013,Mato Grosso do Sul,2589069
2013,Mato Grosso,3226030
2013,Goiás,6417591
2013,Distrito Federal,2763488
2014,Rondônia,1677766
2014,Acre,818273
2014,Amazonas,3819636
2014,Roraima,501970
2014,Pará,8149418
2014,Amapá,762156
2014,Tocantins,1485318
2014,Maranhão,6875302
2014,Piauí,3228556
2014,Ceará,8847031
2014,Rio Grande do Norte,3363084
2014,Paraíba,3910059
2014,Pernambuco,9252442
2014,Alagoas,3263524
2014,Sergipe,2195015
2014,Bahia,14565807
2014,Minas Gerais,20508631
2014,Espírito Santo,3784361
2014,Rio de Janeiro,16726184
2014,São Paulo,43937755
2014,Paraná,10997989
2014,Santa Catarina,6710154
2014,Rio Grande do Sul,11119817
2014,Mato Grosso do Sul,2621214
2014,Mato Grosso,3269448
2014,Goiás,6520857
2014,Distrito Federal,2805774
2015,Rondônia,1698263
2015,Acre,831665
